Date/Time,Duration,Calling Number,Called Number,Final Called Number
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+19725252222,42101,42101
12/31/69 16:00:00,0:00:00,+1650606506031212,42101,42101
12/31/69 16:00:00,0:00:00,+1650606506031212,42101,42101
12/31/69 16:00:00,0:00:00,+16506031212,42101,42101
12/31/69 16:00:00,0:00:00,+16506031212,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,6506042101,6506042101
12/31/69 16:00:00,0:00:00,+14085151111,1650606506042101,1650606506042101
12/31/69 16:00:00,0:00:00,+14085151111,,+650606506042101
12/31/69 16:00:00,0:00:00,+14085151111,+16506042101,+16506042101
12/31/69 16:00:00,0:00:00,+14085151111,+16506042101,+16506042101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
12/31/69 16:00:00,0:00:00,+14085151111,42101,42101
